None,belief-u,belief-i,belief-t,emotion-u,emotion-i,emotion-t,intention-u,intention-i,intention-t,action-u,action-t,avg.
gpt-4o-2024-05-13,0.7878787878787878,0.593939393939394,0.4444444444444444,0.8808080808080808,0.7171717171717171,0.4691358024691358,0.8202020202020202,0.8444444444444444,0.4691358024691358,0.9030303030303031,0.5028058361391695,0.6296770522122634
gpt-4-turbo-2024-04-09,0.6080808080808081,0.4626262626262626,0.30303030303030304,0.7757575757575758,0.5191919191919192,0.3344556677890011,0.7232323232323232,0.6868686868686869,0.3221099887766554,0.8080808080808081,0.3658810325476992,0.49082373026035
Meta-Llama-3.1-70B-Instruct,0.6767676767676768,0.39595959595959596,0.388327721661055,0.9090909090909091,0.6181818181818182,0.4298540965207632,0.8202020202020202,0.7858585858585858,0.4208754208754209,0.9636363636363636,0.4556677890011223,0.5788874662114099
Meta-Llama-3.1-8B-Instruct,0.30707070707070705,0.2808080808080808,0.20650953984287318,0.4,0.24646464646464647,0.2143658810325477,0.20606060606060606,0.25252525252525254,0.20202020202020202,0.24242424242424243,0.15824915824915825,0.23531085502916488
Mixtral-8x7B-Instruct-v0.1,0.15757575757575756,0.15555555555555556,0.143658810325477,0.2868686868686869,0.27474747474747474,0.12906846240179573,0.25252525252525254,0.3212121212121212,0.08641975308641975,0.2606060606060606,0.07744107744107744,0.17570066865841513
Mistral-7B-Instruct-v0.3,0.2101010101010101,0.21212121212121213,0.10774410774410774,0.2202020202020202,0.24646464646464647,0.10549943883277217,0.19595959595959597,0.25252525252525254,0.09427609427609428,0.18787878787878787,0.09427609427609428,0.15834400341442595
Qwen2-72B-Instruct,0.7111111111111111,0.37777777777777777,0.3950617283950617,0.8686868686868687,0.6848484848484848,0.4062850729517396,0.8303030303030303,0.8666666666666667,0.35241301907968575,0.8828282828282829,0.265993265993266,0.5477308294209703
Qwen2-7B-Instruct,0.2787878787878788,0.1717171717171717,0.1829405162738496,0.4262626262626263,0.3575757575757576,0.18518518518518517,0.296969696969697,0.21616161616161617,0.18967452300785634,0.20404040404040405,0.1840628507295174,0.231469625835823
DeepSeek-V2-Lite-Chat,0.08282828282828283,0.16565656565656567,0.08978675645342311,0.044444444444444446,0.10707070707070707,0.09876543209876543,0.052525252525252523,0.13131313131313133,0.0707070707070707,0.05454545454545454,0.06060606060606061,0.08550291648883199
glm-4-9b-chat,0.298989898989899,0.3595959595959596,0.26374859708193044,0.47878787878787876,0.296969696969697,0.21548821548821548,0.3292929292929293,0.3090909090909091,0.1717171717171717,0.4262626262626263,0.15488215488215487,0.27813344714753163
