None,belief-u,belief-i,belief-t,emotion-u,emotion-i,emotion-t,intention-u,intention-i,intention-t,action-u,action-t,avg.
gpt-4o-2024-05-13,0.8102,0.6388,0.4457777777777778,0.9244,0.8106,0.4637777777777778,0.884,0.9234,0.5092222222222222,0.9512,0.5498888888888889,0.6680422535211268
gpt-4-turbo-2024-04-09,0.6334,0.4558,0.3293333333333333,0.7514,0.5342,0.33544444444444443,0.7164,0.7548,0.3491111111111111,0.7992,0.37177777777777776,0.502774647887324
Meta-Llama-3.1-70B-Instruct,0.663,0.3608,0.3988888888888889,0.9286,0.6312,0.4266666666666667,0.8288,0.8196,0.4226666666666667,0.9232,0.46044444444444443,0.5796338028169014
Meta-Llama-3.1-8B-Instruct,0.306,0.276,0.18966666666666668,0.3942,0.27,0.18733333333333332,0.2248,0.2532,0.16755555555555557,0.2672,0.14755555555555555,0.2279718309859155
Mixtral-8x7B-Instruct-v0.1,0.2436,0.204,0.21933333333333332,0.459,0.4052,0.19,0.3274,0.5056,0.09833333333333333,0.4046,0.08611111111111111,0.25480281690140844
Mistral-7B-Instruct-v0.3,0.211,0.2002,0.116,0.2338,0.247,0.11222222222222222,0.1744,0.2524,0.10455555555555555,0.1984,0.10088888888888889,0.1618169014084507
Qwen2-72B-Instruct,0.7158,0.3958,0.3818888888888889,0.855,0.6538,0.3794444444444444,0.7964,0.8684,0.3397777777777778,0.8858,0.204,0.5295915492957747
Qwen2-7B-Instruct,0.2272,0.1882,0.19277777777777777,0.4364,0.335,0.19855555555555557,0.2634,0.193,0.159,0.2394,0.15488888888888888,0.2219718309859155
DeepSeek-V2-Lite-Chat,0.0708,0.1458,0.10344444444444445,0.054,0.1036,0.08377777777777778,0.0434,0.0992,0.06677777777777778,0.028,0.059222222222222225,0.07807042253521126
glm-4-9b-chat,0.3002,0.3388,0.24233333333333335,0.44,0.3052,0.20377777777777778,0.2886,0.2974,0.165,0.399,0.15655555555555556,0.2641549295774648
