surname,value
American Indian and Alaska Native,"Begay, Yazzie, Benally, Tsosie, Nez, Begaye, Etsitty, Becenti"
American Indian and Alaska Native,"Yellowhair, Manygoats, Wauneka, Manuelito, Apachito, Bedonie, Calabaza, Peshlakai"
American Indian and Alaska Native,"Claw, Roanhorse, Goldtooth, Etcitty, Tsinnijinnie, Notah, Clah, Atcitty"
American Indian and Alaska Native,"Twobulls, Werito, Hosteen, Yellowman, Attakai, Bitsui, Delgarito, Henio"
American Indian and Alaska Native,"Goseyun, Keams, Secatero, Declay, Tapaha, Beyale, Haskie, Cayaditto"
American Indian and Alaska Native,"Blackhorse, Ethelbah, Tsinnie, Walkingeagle, Altaha, Bitsilly, Wassillie, Benallie"
American Indian and Alaska Native,"Smallcanyon, Littledog, Cosay, Clitso, Tessay, Secody, Bigcrow, Tabaha"
American Indian and Alaska Native,"Chasinghawk, Blueeyes, Olanna, Blackgoat, Cowboy, Kanuho, Shije, Gishie"
American Indian and Alaska Native,"Littlelight, Laughing, Whitehat, Eriacho, Runningcrane, Chinana, Kameroff, Spottedhorse"
American Indian and Alaska Native,"Arcoren, Whiteplume, Dayzie, Spottedeagle, Heavyrunner, Standingrock, Poorbear, Ganadonegro"
American Indian and Alaska Native,"Ayze, Whiteface, Yepa, Talayumptewa, Madplume, Bitsuie, Tsethlikai, Ahasteen"
American Indian and Alaska Native,"Dosela, Birdinground, Todacheenie, Bitsie, Todacheene, Bullbear, Lasiloo, Keyonnie"
American Indian and Alaska Native,"Notafraid, Colelay, Kallestewa, Littlewhiteman"
Asian and Native Hawaiian and Other Pacific Islander,"Nguyen, Kim, Patel, Tran, Chen, Li, Le, Wang"
Asian and Native Hawaiian and Other Pacific Islander,"Yang, Pham, Lin, Liu, Huang, Wu, Zhang, Shah"
Asian and Native Hawaiian and Other Pacific Islander,"Huynh, Yu, Choi, Ho, Kaur, Vang, Chung, Truong"
Asian and Native Hawaiian and Other Pacific Islander,"Phan, Xiong, Lim, Vo, Vu, Lu, Tang, Cho"
Asian and Native Hawaiian and Other Pacific Islander,"Ngo, Cheng, Kang, Tan, Ng, Dang, Do, Ly"
Asian and Native Hawaiian and Other Pacific Islander,"Han, Hoang, Bui, Sharma, Chu, Ma, Xu, Zheng"
Asian and Native Hawaiian and Other Pacific Islander,"Song, Duong, Liang, Sun, Zhou, Thao, Zhao, Shin"
